column_name,dtype,missing_rate_train_processed,missing_rate_test_processed,role,source
hx_peripheral_vascular_disease,int64,0.0,0.0,feature,history
hx_pregnant,int64,0.0,0.0,feature,history
hx_stroke_prior,int64,0.0,0.0,feature,history
hx_substance_use_disorder,int64,0.0,0.0,feature,history
hypotension,int64,0.0,0.0,feature,structured
insurance_type,object,0.0,0.0,feature,structured
language,object,0.0,0.0,feature,structured
low_gcs,int64,0.0,0.0,feature,structured
low_spo2,int64,0.0,0.0,feature,structured
mean_arterial_pressure,float64,0.0779125,0.07565,feature,clinical
mental_status_triage,object,0.0,0.0,feature,structured
missing_vital_count,int64,0.0,0.0,feature,missing_indicator
news2_score,int64,0.0,0.0,feature,clinical
news2_score_missing,int64,0.0,0.0,feature,missing_indicator
num_active_medications,int64,0.0,0.0,feature,structured
num_comorbidities,int64,0.0,0.0,feature,structured
num_prior_admissions_12m,int64,0.0,0.0,feature,structured
num_prior_ed_visits_12m,int64,0.0,0.0,feature,structured
pain_location,object,0.0,0.0,feature,structured
pain_score,float64,0.13945,0.14565,feature,clinical
pain_score_clean,float64,0.13945,0.14565,feature,structured
pain_score_invalid,int64,0.0,0.0,feature,invalid_indicator
pain_score_missing,int64,0.0,0.0,feature,missing_indicator
patient_id,object,0.0,0.0,row_alignment_id_drop_before_modeling,identifier
pulse_pressure,float64,0.0779125,0.07565,feature,clinical
respiratory_rate,float64,0.0383375,0.0376,feature,clinical
respiratory_rate_invalid,int64,0.0,0.0,feature,invalid_indicator
respiratory_rate_missing,int64,0.0,0.0,feature,missing_indicator
severe_pain,int64,0.0,0.0,feature,structured
sex,object,0.0,0.0,feature,structured
shift,object,0.0,0.0,feature,structured
shock_index,float64,0.051825,0.0481,feature,clinical
site_id,object,0.0,0.0,feature,structured
spo2,float64,0.0,0.0,feature,clinical
spo2_invalid,int64,0.0,0.0,feature,invalid_indicator
spo2_missing,int64,0.0,0.0,feature,missing_indicator
systolic_bp,float64,0.051825,0.0481,feature,clinical
systolic_bp_invalid,int64,0.0,0.0,feature,invalid_indicator
systolic_bp_missing,int64,0.0,0.0,feature,missing_indicator
tachypnea,int64,0.0,0.0,feature,structured
temperature_c,float64,0.007175,0.0053,feature,clinical
temperature_c_invalid,int64,0.0,0.0,feature,invalid_indicator
temperature_c_missing,int64,0.0,0.0,feature,missing_indicator
transport_origin,object,0.0,0.0,feature,structured
triage_acuity,int64,0.0,,target,target
triage_nurse_id,object,0.0,0.0,feature,structured
very_low_gcs,int64,0.0,0.0,feature,structured
very_low_spo2,int64,0.0,0.0,feature,structured
weight_kg,float64,0.0,0.0,feature,structured
