feature,importance
categorical__arrival_season_summer,7
numeric__hx_epilepsy,7
numeric__hx_hypothyroidism,7
categorical__triage_nurse_id_NURSE-0035,7
categorical__transport_origin_public_space,7
categorical__language_Somali,7
numeric__hx_copd,7
categorical__pain_location_multiple,7
categorical__language_Estonian,7
categorical__triage_nurse_id_NURSE-0003,7
categorical__pain_location_abdomen,7
categorical__triage_nurse_id_NURSE-0050,7
categorical__transport_origin_outdoor,6
categorical__triage_nurse_id_NURSE-0020,6
categorical__triage_nurse_id_NURSE-0011,6
categorical__site_id_SITE-TMP-01,6
categorical__arrival_day_Friday,6
categorical__age_group_middle_aged,6
categorical__arrival_day_Thursday,6
numeric__hx_anxiety,6
categorical__arrival_day_Saturday,6
numeric__hx_hyperthyroidism,6
numeric__respiratory_rate_missing,6
numeric__hx_pregnant,6
numeric__hx_substance_use_disorder,6
categorical__pain_location_extremity,6
categorical__pain_location_pelvis,6
numeric__hx_peripheral_vascular_disease,6
categorical__pain_location_none,5
categorical__age_group_elderly,5
categorical__triage_nurse_id_NURSE-0007,5
categorical__arrival_day_Tuesday,5
categorical__triage_nurse_id_NURSE-0009,5
categorical__sex_F,5
categorical__triage_nurse_id_NURSE-0040,5
categorical__triage_nurse_id_NURSE-0041,5
categorical__pain_location_unknown,5
categorical__triage_nurse_id_NURSE-0013,4
categorical__triage_nurse_id_NURSE-0036,4
categorical__triage_nurse_id_NURSE-0001,4
numeric__hx_hiv,4
numeric__hx_obesity,4
categorical__pain_location_back,4
categorical__arrival_season_winter,4
categorical__transport_origin_workplace,4
categorical__sex_Other,3
categorical__triage_nurse_id_NURSE-0043,3
categorical__triage_nurse_id_NURSE-0015,3
categorical__transport_origin_other_hospital,3
categorical__triage_nurse_id_NURSE-0037,3
numeric__hx_heart_failure,3
numeric__hx_stroke_prior,3
categorical__arrival_mode_transfer,3
categorical__shift_evening,3
numeric__hx_dementia,3
categorical__language_Swedish,3
numeric__tachypnea,3
categorical__triage_nurse_id_NURSE-0049,3
categorical__language_English,3
categorical__arrival_mode_ambulance,2
numeric__bp_inconsistent,2
categorical__triage_nurse_id_NURSE-0019,2
categorical__triage_nurse_id_NURSE-0030,2
categorical__triage_nurse_id_NURSE-0038,2
categorical__triage_nurse_id_NURSE-0012,2
numeric__hx_coagulopathy,2
numeric__very_low_spo2,2
categorical__triage_nurse_id_NURSE-0047,2
categorical__age_group_young_adult,2
categorical__shift_night,1
categorical__triage_nurse_id_NURSE-0028,1
numeric__fever,1
categorical__arrival_season_autumn,1
categorical__language_Other,1
numeric__low_spo2,1
categorical__insurance_type_unknown,1
categorical__triage_nurse_id_NURSE-0018,1
categorical__triage_nurse_id_NURSE-0017,1
categorical__triage_nurse_id_NURSE-0004,1
categorical__triage_nurse_id_NURSE-0008,1
categorical__age_group_pediatric,0
categorical__insurance_type_military,0
categorical__triage_nurse_id_NURSE-0046,0
numeric__hypotension,0
numeric__news2_score_missing,0
numeric__gcs_total_missing,0
numeric__spo2_missing,0
categorical__arrival_mode_police,0
numeric__temperature_c_invalid,0
numeric__spo2_invalid,0
categorical__arrival_mode_helicopter,0
numeric__heart_rate_missing,0
numeric__diastolic_bp_missing,0
numeric__chief_complaint_missing,0
numeric__diastolic_bp_invalid,0
numeric__complaint_redflag_shortness_of_breath,0
numeric__systolic_bp_invalid,0
numeric__heart_rate_invalid,0
numeric__gcs_total_invalid,0
numeric__respiratory_rate_invalid,0
