feature,mean_abs_coef
complaint_text__grade,2.0236373892969426
complaint_text__low grade,2.0236373892969426
complaint_text__grade fever,2.0236373892969426
complaint_text__joint ache,2.0229192052851985
complaint_text__ache,2.0229192052851985
complaint_text__minor joint,2.0229192052851985
complaint_text__with abnormal,2.0216033995917035
complaint_text__abnormal,2.0216033995917035
complaint_text__abnormal vitals,2.0216033995917035
complaint_text__temporal bone,2.0193219733127403
complaint_text__temporal,2.0193219733127403
complaint_text__closed ankle,2.0169599117036716
complaint_text__closed,2.0169599117036716
complaint_text__ankle fracture,2.0169599117036716
complaint_text__syndrome,2.0166386323707184
complaint_text__respiratory tract,2.0165584212790013
complaint_text__upper respiratory,2.0165584212790013
complaint_text__tract,2.0165584212790013
complaint_text__tract infection,2.0165584212790013
complaint_text__with near,2.012198804640614
complaint_text__syncope,2.012198804640614
complaint_text__near syncope,2.012198804640614
complaint_text__five,2.0116225605042484
complaint_text__five days,2.0116225605042484
complaint_text__constipation five,2.0116225605042484
complaint_text__constipation,2.0116225605042484
complaint_text__epiglottitis suspected,1.9999734685057386
complaint_text__epiglottitis,1.9999734685057386
complaint_text__related symptoms,1.997736102267627
complaint_text__related,1.997736102267627
complaint_text__thyroid related,1.997736102267627
complaint_text__eyelid swelling,1.996252777141057
complaint_text__swelling,1.996252777141057
complaint_text__eyelid,1.996252777141057
complaint_text__mild photophobia,1.9942047712010844
complaint_text__mild urinary,1.9852514001972472
complaint_text__urinary symptoms,1.9852514001972472
complaint_text__medical,1.979632904751084
complaint_text__trauma,1.9770783046250393
complaint_text__counselling,1.9689076293418957
complaint_text__counselling referral,1.9689076293418957
complaint_text__generalised muscle,1.9598948410929082
complaint_text__soreness,1.9598948410929082
complaint_text__muscle soreness,1.9598948410929082
complaint_text__generalised,1.9598948410929082
complaint_text__exertional chest,1.958881385775161
complaint_text__exertional,1.958881385775161
complaint_text__bleeding light,1.9473128465110636
complaint_text__vaginal,1.9473128465110636
complaint_text__vaginal bleeding,1.9473128465110636
complaint_text__light,1.9473128465110636
complaint_text__joint,1.946644534399399
complaint_text__severe ovarian,1.9438010750795147
complaint_text__conjunctival haemorrhage,1.9423434862403302
complaint_text__conjunctival,1.9423434862403302
complaint_text__deterioration elderly,1.9410476049333485
complaint_text__general deterioration,1.9410476049333485
complaint_text__deterioration,1.9410476049333485
complaint_text__on exertion,1.9385711853626568
complaint_text__dyspnoea on,1.9385711853626568
complaint_text__on,1.9385711853626568
complaint_text__exertion,1.9385711853626568
complaint_text__community,1.9350033300733454
complaint_text__pneumonia,1.9350033300733454
complaint_text__one week,1.9318920214569062
complaint_text__week,1.9318920214569062
complaint_text__one,1.9318920214569062
complaint_text__week cough,1.9318920214569062
complaint_text__dehydration,1.9252133486888863
complaint_text__routine sti,1.9216512655295837
complaint_text__screening,1.9216512655295837
complaint_text__sti screening,1.9216512655295837
complaint_text__fibrillation,1.9163297506845862
complaint_text__allergic reaction,1.9062287234015334
complaint_text__severe allergic,1.9062287234015334
complaint_text__colic moderate,1.9060594653833474
complaint_text__hypoxia,1.9044669235583798
complaint_text__with hypoxia,1.9044669235583798
complaint_text__respiratory failure,1.9044669235583798
complaint_text__palpitations,1.9007705442567484
numeric__gcs_total,1.9001356292624005
complaint_text__diabetic,1.8989931357346461
complaint_text__dry,1.8898176575541932
complaint_text__mild dry,1.8898176575541932
complaint_text__dry skin,1.8898176575541932
complaint_text__activity,1.887811973854144
complaint_text__small,1.8875568901318605
complaint_text__minor facial,1.8861271116875458
complaint_text__facial laceration,1.8861271116875458
complaint_text__photophobia,1.8849699487330767
complaint_text__bite,1.880141805391269
complaint_text__unknown substance,1.8759558914695404
complaint_text__overdose unknown,1.8759558914695404
complaint_text__gastroenteritis,1.8737964830318998
complaint_text__mild gastroenteritis,1.8737964830318998
complaint_text__body throat,1.8728046359342898
complaint_text__sti,1.8693584979820024
complaint_text__rash moderate,1.8641787923372235
complaint_text__allergic rash,1.8641787923372235
complaint_text__low back,1.8630532085565228
complaint_text__chronic anxiety,1.8565531489022018
complaint_text__anxiety flare,1.8565531489022018
complaint_text__to,1.8531631850509904
complaint_text__infection,1.8457125468927724
complaint_text__mild abdominal,1.8452330326644415
complaint_text__abdominal cramping,1.8452330326644415
complaint_text__cramping,1.8452330326644415
complaint_text__known af,1.8439663681129232
complaint_text__stable follow,1.8439663681129232
complaint_text__af stable,1.8439663681129232
complaint_text__af,1.8439663681129232
complaint_text__bilious vomiting,1.8392469440327819
complaint_text__bilious,1.8392469440327819
complaint_text__obstruction with,1.8392469440327819
complaint_text__with bilious,1.8392469440327819
complaint_text__symptomatic,1.830801710685591
complaint_text__hypoglycaemia,1.8307869767838927
complaint_text__cut wound,1.8302666919393296
complaint_text__wound check,1.8302666919393296
complaint_text__cut,1.8302666919393296
complaint_text__small cut,1.8302666919393296
complaint_text__visual,1.81891690572041
complaint_text__sudden visual,1.81891690572041
complaint_text__blurring,1.81891690572041
complaint_text__visual blurring,1.81891690572041
complaint_text__self,1.8180674408646205
complaint_text__feeling,1.8179144046999869
complaint_text__unwell feeling,1.8179144046999869
complaint_text__unwell,1.8179144046999869
complaint_text__general unwell,1.8179144046999869
complaint_text__chronic,1.814668737732512
complaint_text__pancreatitis stable,1.811049071369523
complaint_text__moderate pancreatitis,1.811049071369523
complaint_text__crisis,1.8064970707515162
complaint_text__episode,1.8054106834089136
complaint_text__assessment,1.8054106834089136
complaint_text__depressive episode,1.8054106834089136
complaint_text__episode assessment,1.8054106834089136
complaint_text__depressive,1.8054106834089136
complaint_text__sore,1.8009106865295326
complaint_text__sore throat,1.8009106865295326
complaint_text__ankle sprain,1.7992783349632429
complaint_text__sprain,1.7992783349632429
complaint_text__lateral ankle,1.7992783349632429
complaint_text__lateral,1.7992783349632429
complaint_text__pleuritic chest,1.7960984740013752
complaint_text__pleuritic,1.7960984740013752
complaint_text__distal,1.7902482979454408
complaint_text__radius,1.7902482979454408
complaint_text__radius fracture,1.7902482979454408
complaint_text__distal radius,1.7902482979454408
complaint_text__allergy,1.7839859477472764
complaint_text__seasonal allergy,1.7839859477472764
complaint_text__seasonal,1.7839859477472764
complaint_text__allergy symptoms,1.7839859477472764
complaint_text__wound,1.7820085882324463
complaint_text__mastoiditis,1.781907002192714
complaint_text__mastoiditis with,1.781907002192714
complaint_text__acute mastoiditis,1.781907002192714
complaint_text__without plan,1.7792358901716905
complaint_text__ideation without,1.7792358901716905
complaint_text__abdomen stable,1.7791467474815863
complaint_text__wound abdomen,1.7791467474815863
complaint_text__hyperglycaemia,1.76865386370542
complaint_text__with symptoms,1.76865386370542
complaint_text__hyperglycaemia with,1.76865386370542
complaint_text__eczema,1.767370523159085
complaint_text__eczema herpeticum,1.767370523159085
complaint_text__herpeticum,1.767370523159085
complaint_text__electrolyte imbalance,1.7603267411745158
complaint_text__imbalance symptomatic,1.7603267411745158
complaint_text__imbalance,1.7603267411745158
complaint_text__injury significant,1.7601254948049885
complaint_text__traumatic eye,1.7601254948049885
complaint_text__eye injury,1.7601254948049885
complaint_text__and runny,1.7579557324421013
complaint_text__congestion and,1.7579557324421013
complaint_text__head,1.7569099843709466
complaint_text__loc,1.7569099843709466
complaint_text__testicular,1.7568047723445979
complaint_text__testicular torsion,1.7568047723445979
complaint_text__weight change,1.7544558504859693
complaint_text__concern,1.7544558504859693
complaint_text__change concern,1.7544558504859693
complaint_text__change,1.7544558504859693
complaint_text__uti repeat,1.7533805698213172
complaint_text__repeat,1.7533805698213172
complaint_text__repeat prescription,1.7533805698213172
complaint_text__chronic headache,1.7513787346759302
complaint_text__headache review,1.7513787346759302
complaint_text__otitis media,1.7367538688395896
complaint_text__otitis,1.7367538688395896
complaint_text__media with,1.7367538688395896
complaint_text__media,1.7367538688395896
complaint_text__bp,1.7328809819380329
complaint_text__routine bp,1.7328809819380329
complaint_text__bp monitoring,1.7328809819380329
complaint_text__serious deliberate,1.7310727397740515
complaint_text__deliberate overdose,1.7310727397740515
complaint_text__deliberate,1.7310727397740515
complaint_text__serious,1.7310727397740515
complaint_text__wound redness,1.7260661603987781
complaint_text__minor wound,1.7260661603987781
complaint_text__redness,1.7260661603987781
complaint_text__weakness,1.7254606231376453
complaint_text__transient,1.7254606231376453
complaint_text__transient limb,1.7254606231376453
complaint_text__limb weakness,1.7254606231376453
complaint_text__limb,1.7254606231376453
complaint_text__intent,1.713736562715436
complaint_text__and intent,1.713736562715436
complaint_text__plan and,1.713736562715436
complaint_text__ideation with,1.713736562715436
complaint_text__with plan,1.713736562715436
complaint_text__deep,1.7111002288075188
complaint_text__deep dog,1.7111002288075188
complaint_text__bite wound,1.7111002288075188
complaint_text__dog bite,1.7111002288075188
complaint_text__dog,1.7111002288075188
complaint_text__ankle,1.7084299848113056
complaint_text__viral urti,1.7058466067343345
complaint_text__viral,1.7058466067343345
complaint_text__urti,1.7058466067343345
complaint_text__urti mild,1.7058466067343345
complaint_text__mild low,1.704245628780378
complaint_text__sudden,1.6997621022569045
complaint_text__afebrile,1.6910253352179794
complaint_text__specific skin,1.6910253352179794
complaint_text__specific,1.6910253352179794
complaint_text__non specific,1.6910253352179794
complaint_text__rash afebrile,1.6910253352179794
complaint_text__allergic,1.6909780987316876
complaint_text__jaundice,1.688728107086143
complaint_text__onset jaundice,1.688728107086143
complaint_text__complaint,1.6869107260596685
complaint_text__complaint mild,1.6869107260596685
complaint_text__memory complaint,1.6869107260596685
complaint_text__memory,1.6869107260596685
complaint_text__severe malaria,1.680018392270624
complaint_text__malaria,1.680018392270624
complaint_text__weight,1.6639318375915608
complaint_text__hypothermia,1.6607872371155878
complaint_text__instability,1.660283800965886
complaint_text__haemodynamic instability,1.660283800965886
complaint_text__high fever,1.660283800965886
complaint_text__without,1.659724386227672
complaint_text__severe back,1.6587104511940516
complaint_text__with new,1.6587104511940516
complaint_text__incontinence,1.6587104511940516
complaint_text__new incontinence,1.6587104511940516
complaint_text__ear wax,1.6552224677766403
complaint_text__wax removal,1.6552224677766403
complaint_text__wax,1.6552224677766403
complaint_text__dietary advice,1.6479786288407567
complaint_text__dietary,1.6479786288407567
complaint_text__with unknown,1.6404379395745436
complaint_text__unknown source,1.6404379395745436
complaint_text__source 39,1.6404379395745436
complaint_text__39,1.6404379395745436
complaint_text__source,1.6404379395745436
complaint_text__rash,1.6352260754997616
categorical__mental_status_triage_unresponsive,1.633612301993805
complaint_text__heart,1.632840322776493
complaint_text__decompensated heart,1.632840322776493
complaint_text__decompensated,1.632840322776493
complaint_text__heart failure,1.632840322776493
complaint_text__peritonsillar abscess,1.6314402365180158
complaint_text__trismus,1.6314402365180158
complaint_text__with trismus,1.6314402365180158
complaint_text__peritonsillar,1.6314402365180158
complaint_text__arrest,1.6260080703615514
complaint_text__ischaemic colitis,1.6203384294140217
complaint_text__colitis,1.6203384294140217
complaint_text__colitis suspected,1.6203384294140217
complaint_text__scalp laceration,1.6153223959661887
complaint_text__scalp,1.6153223959661887
complaint_text__laceration actively,1.6153223959661887
complaint_text__actively,1.6153223959661887
complaint_text__actively bleeding,1.6153223959661887
complaint_text__ingrown toenail,1.6133374078936615
complaint_text__toenail infected,1.6133374078936615
complaint_text__toenail,1.6133374078936615
complaint_text__ingrown,1.6133374078936615
complaint_text__contamination,1.6073753604086551
complaint_text__open fracture,1.6073753604086551
complaint_text__with contamination,1.6073753604086551
complaint_text__sepsis signs,1.6049206243034129
complaint_text__with sepsis,1.6049206243034129
complaint_text__withdrawal,1.6035199196774221
complaint_text__alcohol,1.6035199196774221
complaint_text__alcohol withdrawal,1.6035199196774221
complaint_text__withdrawal mild,1.6035199196774221
complaint_text__epistaxis controlled,1.6004791330331436
complaint_text__mild epistaxis,1.6004791330331436
complaint_text__airway,1.595837673581371
complaint_text__and arm,1.595178747170817
complaint_text__arm radiation,1.595178747170817
complaint_text__radiation,1.595178747170817
complaint_text__arm,1.595178747170817
complaint_text__diaphoresis and,1.595178747170817
complaint_text__loss,1.5942248665065644
complaint_text__minor chest,1.5918234869314285
complaint_text__chest wall,1.5918234869314285
complaint_text__wall pain,1.5918234869314285
complaint_text__wall,1.5918234869314285
complaint_text__migraine,1.5911075189828308
complaint_text__severe psychosis,1.5880873671265276
complaint_text__hyperglycaemic,1.5873771249159918
complaint_text__acute psychiatric,1.5869760616046618
complaint_text__psychiatric decompensation,1.5869760616046618
complaint_text__decompensation,1.5869760616046618
complaint_text__psychiatric,1.5869760616046618
complaint_text__orbital,1.5866073197460873
complaint_text__adjustment,1.5834319338754284
complaint_text__adjustment query,1.5834319338754284
complaint_text__medication adjustment,1.5834319338754284
complaint_text__skin rash,1.5807156226668928
complaint_text__confusion in,1.5784641793013239
complaint_text__elderly patient,1.5784641793013239
complaint_text__in elderly,1.5784641793013239
complaint_text__anxiety,1.5717876465275045
complaint_text__certificate request,1.5693338054497532
complaint_text__certificate,1.5693338054497532
complaint_text__medical certificate,1.5693338054497532
complaint_text__splinter removal,1.5671856186279638
complaint_text__splinter,1.5671856186279638
complaint_text__scrotal,1.5627564050765526
complaint_text__scrotal pain,1.5627564050765526
complaint_text__pain mild,1.5627564050765526
complaint_text__worsening,1.5583544536973089
complaint_text__plan,1.5528796157656022
complaint_text__ideation,1.5528796157656022
complaint_text__suicidal ideation,1.5528796157656022
complaint_text__systemic features,1.5527757913021492
complaint_text__contraception advice,1.5444239952216183
complaint_text__contraception,1.5444239952216183
complaint_text__non,1.5387901605888732
complaint_text__nausea,1.5382589832386493
complaint_text__blood glucose,1.5376202734205553
complaint_text__glucose monitoring,1.5376202734205553
complaint_text__glucose,1.5376202734205553
complaint_text__haemoptysis significant,1.5369604551645903
complaint_text__haemoptysis,1.5369604551645903
complaint_text__fulminant,1.5346995763280777
complaint_text__ground,1.5288905776001112
complaint_text__chest tightness,1.5283872848026023
complaint_text__tightness with,1.5283872848026023
complaint_text__with dyspnoea,1.5283872848026023
complaint_text__tightness,1.5283872848026023
complaint_text__mania,1.52514483523198
complaint_text__acute mania,1.52514483523198
complaint_text__mania with,1.52514483523198
complaint_text__with risk,1.52514483523198
complaint_text__muscle,1.5246659991190827
complaint_text__hypoglycaemia unresponsive,1.5245922136169061
complaint_text__requiring,1.5205005818606323
complaint_text__epistaxis requiring,1.5205005818606323
complaint_text__significant epistaxis,1.5205005818606323
complaint_text__requiring intervention,1.5205005818606323
complaint_text__intervention,1.5205005818606323
complaint_text__altered,1.517878248967542
complaint_text__altered mental,1.517878248967542
complaint_text__mental status,1.517878248967542
complaint_text__ongoing,1.5113061168066535
complaint_text__fever with,1.498757639916424
complaint_text__septic,1.4927740067271476
complaint_text__panic attack,1.4921255359682823
complaint_text__panic,1.4921255359682823
complaint_text__attack,1.4921255359682823
complaint_text__attack now,1.4921255359682823
complaint_text__blood pressure,1.4892839648765066
complaint_text__pressure check,1.4892839648765066
complaint_text__pressure,1.4892839648765066
complaint_text__ischaemia,1.484295449683251
complaint_text__loss of,1.4785163888943191
complaint_text__sudden loss,1.4785163888943191
complaint_text__of vision,1.4785163888943191
complaint_text__vision,1.4785163888943191
complaint_text__after ground,1.4758152716166821
complaint_text__bruising,1.4758152716166821
complaint_text__level,1.4758152716166821
complaint_text__ground level,1.4758152716166821
complaint_text__bruising after,1.4758152716166821
complaint_text__level fall,1.4758152716166821
complaint_text__drop prescription,1.474713667968318
complaint_text__eye drop,1.474713667968318
complaint_text__prescription query,1.474713667968318
complaint_text__drop,1.474713667968318
complaint_text__retinal,1.471977362766487
complaint_text__irritation,1.4701880199776078
complaint_text__bite local,1.4674112433622437
complaint_text__insect bite,1.4674112433622437
complaint_text__sti with,1.4656358403598149
complaint_text__facial trauma,1.464101972002164
complaint_text__moderate facial,1.464101972002164
complaint_text__vascular compromise,1.462589663848491
complaint_text__dislocation,1.462589663848491
complaint_text__with vascular,1.462589663848491
complaint_text__dislocation with,1.462589663848491
complaint_text__vascular,1.462589663848491
complaint_text__shoulder dislocation,1.462589663848491
complaint_text__glasses prescription,1.4620998387501332
complaint_text__glasses,1.4620998387501332
complaint_text__prescription question,1.4620998387501332
complaint_text__inquiry,1.4616382194322604
complaint_text__ecg result,1.4616382194322604
complaint_text__result inquiry,1.4616382194322604
complaint_text__ecg,1.4616382194322604
complaint_text__result,1.4616382194322604
complaint_text__skin,1.46028913946868
complaint_text__acute adrenal,1.4591397344311576
complaint_text__adrenal insufficiency,1.4591397344311576
complaint_text__insufficiency,1.4591397344311576
complaint_text__acute nstemi,1.4582704577630294
complaint_text__nstemi,1.4582704577630294
complaint_text__referral query,1.4537560211734106
complaint_text__endocrine,1.4537560211734106
complaint_text__endocrine referral,1.4537560211734106
complaint_text__fever,1.4520002052982204
complaint_text__health question,1.4513349897166876
complaint_text__general health,1.4513349897166876
complaint_text__penetrating,1.4444174124689504
complaint_text__fall,1.4329621430454456
complaint_text__pancreatitis,1.431544353075944
complaint_text__pancreatitis with,1.4272246950532148
complaint_text__acute pancreatitis,1.4272246950532148
complaint_text__organ dysfunction,1.4272246950532148
complaint_text__dysfunction,1.4272246950532148
complaint_text__with organ,1.4272246950532148
complaint_text__colic with,1.4264996746134468
complaint_text__single,1.4264996746134468
complaint_text__single kidney,1.4264996746134468
complaint_text__with single,1.4264996746134468
complaint_text__kidney,1.4264996746134468
complaint_text__severe renal,1.4264996746134468
complaint_text__activity advice,1.4248157975463358
complaint_text__reaction,1.421050435952068
complaint_text__advice diabetic,1.417902302119248
complaint_text__contact lens,1.4154267815323005
complaint_text__lens problem,1.4154267815323005
complaint_text__problem,1.4154267815323005
complaint_text__lens,1.4154267815323005
complaint_text__and vomiting,1.4120163098273848
complaint_text__without blood,1.4120163098273848
